timestamp,demand2019,demand2030,pv_cf,wind_cf
2019-01-12 03:00:00,433.24760875,643.5254033710662,0.0,0.454
2019-01-12 04:00:00,431.790327,641.3608263323151,0.0,0.484
2019-01-12 05:00:00,448.14341925,665.6509322071246,0.0,0.498
2019-01-12 06:00:00,468.50638175,695.8971087398702,0.0,0.498
2019-01-12 07:00:00,524.7315255,779.4112645726227,0.088,0.488
2019-01-12 08:00:00,580.7498195,862.6181756194433,0.253,0.448
2019-01-12 09:00:00,610.88388325,907.3778814742035,0.399,0.386
2019-01-12 10:00:00,610.32813375,906.5523975847652,0.485,0.304
2019-01-12 11:00:00,627.0600635000001,931.4052106738234,0.609,0.243
2019-01-12 12:00:00,635.2996235,943.6438614257534,0.611,0.212
2019-01-12 13:00:00,622.41313925,924.5028902870034,0.56,0.228
2019-01-12 14:00:00,603.53390675,896.4605757663267,0.407,0.265
2019-01-12 15:00:00,605.251017,899.0110897078854,0.19,0.318
2019-01-12 16:00:00,642.76766625,954.7365371290354,0.009,0.408
2019-01-12 17:00:00,751.60589,1116.399661001751,0.0,0.476
2019-01-12 18:00:00,774.7385967499999,1150.7598839821121,0.0,0.477
2019-01-12 19:00:00,757.3885875,1124.9890049845071,0.0,0.435
2019-01-12 20:00:00,726.13742425,1078.5700126343936,0.0,0.365
2019-01-12 21:00:00,703.76890775,1045.3448815251734,0.0,0.286
2019-01-12 22:00:00,662.77760625,984.4583508214017,0.0,0.246
2019-01-12 23:00:00,615.89560825,914.8220595540665,0.0,0.253
2019-01-13 00:00:00,543.028249,806.588347914589,0.0,0.27
2019-01-13 01:00:00,486.93083325,723.2639131814149,0.0,0.266
2019-01-13 02:00:00,450.800898,669.5982248176433,0.0,0.267
2019-01-13 03:00:00,432.25567025,642.0520250755147,0.0,0.285
2019-01-13 04:00:00,429.401895,637.8131629749595,0.0,0.316
2019-01-13 05:00:00,437.88218725,650.4093859676981,0.0,0.341
2019-01-13 06:00:00,446.2208585,662.7952518590698,0.0,0.391
2019-01-13 07:00:00,477.45781425,709.1931410640449,0.034,0.459
2019-01-13 08:00:00,519.7087779999999,771.9507141952203,0.139,0.498
2019-01-13 09:00:00,574.94050925,853.989302322889,0.207,0.537
2019-01-13 10:00:00,617.79236325,917.6394092677621,0.222,0.548
2019-01-13 11:00:00,629.80953175,935.4891401148699,0.24,0.493
2019-01-13 12:00:00,651.0644455,967.0601786349665,0.221,0.39
2019-01-13 13:00:00,639.058286,949.2268000331396,0.177,0.297
2019-01-13 14:00:00,642.97811225,955.0491236137675,0.124,0.216
2019-01-13 15:00:00,647.4472127500001,961.6873130552883,0.05,0.171
2019-01-13 16:00:00,663.1405540000001,984.9974561563287,0.0,0.164
2019-01-13 17:00:00,744.556057,1105.9281741812858,0.0,0.137
2019-01-13 18:00:00,774.3598215,1150.1972692310544,0.0,0.108
2019-01-13 19:00:00,776.605909,1153.5335008345353,0.0,0.107
2019-01-13 20:00:00,760.9603295,1130.2943007665635,0.0,0.123
2019-01-13 21:00:00,723.6211615,1074.8324755574936,0.0,0.141
2019-01-13 22:00:00,649.24371275,964.3557487576609,0.0,0.168
2019-01-13 23:00:00,581.753959,864.1096767004135,0.0,0.207
2019-01-14 00:00:00,512.106813,760.6591167478571,0.0,0.232
2019-01-14 01:00:00,464.45742625,689.8829827095232,0.0,0.215
2019-01-14 02:00:00,437.44171025,649.7551223702175,0.0,0.178
2019-01-14 03:00:00,427.39562575,634.8331460001348,0.0,0.133
2019-01-14 04:00:00,436.9639475,649.0454762920856,0.0,0.089
2019-01-14 05:00:00,486.24420925000004,722.2440345308689,0.0,0.054
2019-01-14 06:00:00,588.352812,873.9112992664637,0.0,0.032
2019-01-14 07:00:00,645.53716925,958.850225235369,0.056,0.032
2019-01-14 08:00:00,687.7372405,1021.5322050662477,0.19,0.049
2019-01-14 09:00:00,688.04229825,1021.9853233470079,0.325,0.095
2019-01-14 10:00:00,679.851725,1009.8194351849153,0.462,0.161
2019-01-14 11:00:00,689.0867785,1023.536744660408,0.488,0.265
2019-01-14 12:00:00,678.96031625,1008.4953790012763,0.405,0.386
2019-01-14 13:00:00,684.774405,1017.1313500545821,0.276,0.488
2019-01-14 14:00:00,696.739968,1034.904428545086,0.157,0.574
2019-01-14 15:00:00,708.03198,1051.6770463978116,0.072,0.638
2019-01-14 16:00:00,736.32182275,1093.6974340452432,0.008,0.714
2019-01-14 17:00:00,820.92695,1219.3658683105868,0.0,0.772
2019-01-14 18:00:00,841.86610325,1250.4678911938345,0.0,0.815
2019-01-14 19:00:00,829.31269925,1231.8216616252796,0.0,0.896
2019-01-14 20:00:00,799.82332775,1188.0195509928644,0.0,0.959
2019-01-14 21:00:00,753.5512269999999,1119.289172108874,0.0,0.977
2019-01-14 22:00:00,672.0524320000001,998.2347361064485,0.0,0.988
2019-01-14 23:00:00,592.43943475,879.9813744394272,0.0,0.99
2019-01-15 00:00:00,510.7809535,758.6897480720263,0.0,0.982
2019-01-15 01:00:00,459.03806275,681.8333177790829,0.0,0.954
2019-01-15 02:00:00,431.51277375,640.9485619284134,0.0,0.898
2019-01-15 03:00:00,420.4566785,624.5263636017038,0.0,0.86
2019-01-15 04:00:00,423.16502525,628.5492131213838,0.0,0.873
2019-01-15 05:00:00,464.93584325,690.5936005795048,0.0,0.933
